council,suburb,Adults - Obesity - ASR,Adults - Overweight/Obese - ASR,IGNORE,postcode,state,lng,lat,Individuals 2003-04,Median taxable income 2003-04,Average taxable income 2003-04,Individuals 2013-14,Median taxable income 2013-14,Average taxable income 2013-14,Individuals 2014-15,Median taxable income 2014-15,Average taxable income 2014-15,Individuals 2015-16,Median taxable income 2015-16,Average taxable income 2015-16,Individuals 2016-17,Median taxable income 2016-17,Average taxable income 2016-17,Individuals 2017-18,Median taxable income 2017-18,Average taxable income 2017-18,Individuals 2018-19,Median taxable income 2018-19,Average taxable income 2018-19,Individuals 2019-20,Median taxable income 2019-20,Average taxable income 2019-20,Individuals 2020-21,Median taxable income 2020-21,Average taxable income 2020-21,Individuals 2021-22,Median taxable income 2021-22,Average taxable income 2021-22,KFC Count,McDonald's Count,Hungry Jack's Count,council_y,sa4name,sed_name,Total Fast Food Count
Casey,BANGHOLME,32.2,70.5,404.0,3175.0,VIC,145.208504,-38.016114,"23,188","26,073","28,608","24,269","35,562","40,574","24,842","36,465","40,953","26,016","36,544","41,223","27,008","36,999","42,269","27,920","38,640","44,498","28,684","39,962","45,352","28,631","40,468","47,303","27,855","43,792","50,308","28,286","45,011","51,782",0.0,0.0,0.0,Dandenong,Melbourne - South East,Narre Warren South (South-Eastern Metropolitan),0.0
Casey,DANDENONG,32.2,70.5,405.0,3175.0,VIC,145.208504,-38.016114,"23,188","26,073","28,608","24,269","35,562","40,574","24,842","36,465","40,953","26,016","36,544","41,223","27,008","36,999","42,269","27,920","38,640","44,498","28,684","39,962","45,352","28,631","40,468","47,303","27,855","43,792","50,308","28,286","45,011","51,782",3.0,2.0,1.0,Dandenong,Melbourne - South East,Narre Warren South (South-Eastern Metropolitan),6.0
Casey,DANDENONG EAST,32.2,70.5,406.0,3175.0,VIC,145.208504,-38.016114,"23,188","26,073","28,608","24,269","35,562","40,574","24,842","36,465","40,953","26,016","36,544","41,223","27,008","36,999","42,269","27,920","38,640","44,498","28,684","39,962","45,352","28,631","40,468","47,303","27,855","43,792","50,308","28,286","45,011","51,782",0.0,0.0,0.0,Dandenong,Melbourne - South East,Narre Warren South (South-Eastern Metropolitan),0.0
Casey,DANDENONG NORTH,32.2,70.5,407.0,3175.0,VIC,145.208504,-38.016114,"23,188","26,073","28,608","24,269","35,562","40,574","24,842","36,465","40,953","26,016","36,544","41,223","27,008","36,999","42,269","27,920","38,640","44,498","28,684","39,962","45,352","28,631","40,468","47,303","27,855","43,792","50,308","28,286","45,011","51,782",0.0,1.0,0.0,Dandenong,Melbourne - South East,Narre Warren South (South-Eastern Metropolitan),1.0
Casey,DUNEARN,32.2,70.5,409.0,3175.0,VIC,145.208504,-38.016114,"23,188","26,073","28,608","24,269","35,562","40,574","24,842","36,465","40,953","26,016","36,544","41,223","27,008","36,999","42,269","27,920","38,640","44,498","28,684","39,962","45,352","28,631","40,468","47,303","27,855","43,792","50,308","28,286","45,011","51,782",0.0,0.0,0.0,Dandenong,Melbourne - South East,Narre Warren South (South-Eastern Metropolitan),0.0
Knox,SCORESBY BC,24.5,62.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casey,DOVETON,32.2,70.5,410.0,3177.0,VIC,145.237462,-37.990985,"4,406","25,640","26,922","4,424","36,424","38,530","4,508","36,632","38,991","4,828","36,225","39,142","5,208","36,550","38,943","5,412","37,950","41,023","5,662","39,822","41,948","5,801","40,280","43,074","5,866","42,370","45,732","6,125","43,679","47,176",0.0,0.0,0.0,Casey - North,Melbourne - South East,Narre Warren North (South-Eastern Metropolitan),0.0
Casey,EUMEMMERRING,32.2,70.5,411.0,3177.0,VIC,145.237462,-37.990985,"4,406","25,640","26,922","4,424","36,424","38,530","4,508","36,632","38,991","4,828","36,225","39,142","5,208","36,550","38,943","5,412","37,950","41,023","5,662","39,822","41,948","5,801","40,280","43,074","5,866","42,370","45,732","6,125","43,679","47,176",0.0,1.0,0.0,Casey - North,Melbourne - South East,Narre Warren North (South-Eastern Metropolitan),1.0
Knox,ROWVILLE,24.5,62.9,412.0,3178.0,VIC,145.241589,-37.924431,"20,551","32,037","36,185","20,771","43,639","52,449","20,903","43,910","53,134","21,123","45,111","54,506","21,429","45,960","55,733","21,681","47,809","57,707","21,866","49,311","59,138","21,778","50,497","60,632","21,733","52,722","63,624","21,848","55,447","67,154",1.0,1.0,1.0,Knox,Melbourne - Outer East,Rowville (South-Eastern Metropolitan),3.0
Knox,SCORESBY,24.5,62.9,413.0,3179.0,VIC,145.222634,-37.897137,"3,835","29,781","33,736","3,478","41,122","49,072","3,523","41,612","49,427","3,522","41,822","51,196","3,648","42,849","50,998","3,710","44,891","53,946","3,766","47,202","55,358","3,819","46,549","56,075","3,812","48,930","58,826","3,783","51,733","62,376",2.0,2.0,0.0,Knox,Melbourne - Outer East,Rowville (South-Eastern Metropolitan),4.0
Knox,KNOXFIELD,24.5,62.9,414.0,3180.0,VIC,145.246731,-37.893263,"4,408","30,195","33,389","4,313","41,692","47,561","4,335","41,768","48,928","4,446","42,153","50,551","4,494","42,853","51,351","4,589","43,773","52,674","4,743","46,933","54,540","4,768","48,254","56,680","4,727","49,658","57,739","4,807","51,331","60,613",0.0,1.0,1.0,Knox,Melbourne - Outer East,Rowville (South-Eastern Metropolitan),2.0
Port Phillip,PRAHRAN,17.4,54.4,415.0,3181.0,VIC,144.995504,-37.854683,"11,520","35,530","45,636","13,185","50,735","69,528","13,701","52,670","71,369","15,558","49,917","68,544","14,782","55,404","75,360","14,875","59,501","80,360","14,944","62,499","85,610","14,560","64,796","87,883","13,811","66,813","93,145","13,941","70,690","104,694",0.0,1.0,0.0,Stonnington - West,Melbourne - Inner,Prahran (Southern Metropolitan),1.0
Port Phillip,PRAHRAN EAST,17.4,54.4,416.0,3181.0,VIC,144.995504,-37.854683,"11,520","35,530","45,636","13,185","50,735","69,528","13,701","52,670","71,369","15,558","49,917","68,544","14,782","55,404","75,360","14,875","59,501","80,360","14,944","62,499","85,610","14,560","64,796","87,883","13,811","66,813","93,145","13,941","70,690","104,694",0.0,0.0,0.0,Stonnington - West,Melbourne - Inner,Prahran (Southern Metropolitan),0.0
Port Phillip,WINDSOR,17.4,54.4,417.0,3181.0,VIC,144.995504,-37.854683,"11,520","35,530","45,636","13,185","50,735","69,528","13,701","52,670","71,369","15,558","49,917","68,544","14,782","55,404","75,360","14,875","59,501","80,360","14,944","62,499","85,610","14,560","64,796","87,883","13,811","66,813","93,145","13,941","70,690","104,694",0.0,0.0,0.0,Stonnington - West,Melbourne - Inner,Prahran (Southern Metropolitan),0.0
Port Phillip,ST KILDA,17.4,54.4,418.0,3182.0,VIC,144.979478,-37.865322,"14,062","34,220","43,958","16,061","47,343","66,375","16,468","47,902","65,309","17,083","48,636","67,698","17,563","50,265","67,541","17,848","53,762","74,964","18,455","55,178","72,878","17,723","56,287","76,095","16,328","59,361","82,548","16,526","61,425","87,572",1.0,1.0,0.0,Port Phillip,Melbourne - Inner,Prahran (Southern Metropolitan),2.0
Port Phillip,ST KILDA SOUTH,17.4,54.4,419.0,3182.0,VIC,144.979478,-37.865322,"14,062","34,220","43,958","16,061","47,343","66,375","16,468","47,902","65,309","17,083","48,636","67,698","17,563","50,265","67,541","17,848","53,762","74,964","18,455","55,178","72,878","17,723","56,287","76,095","16,328","59,361","82,548","16,526","61,425","87,572",0.0,0.0,0.0,Port Phillip,Melbourne - Inner,Prahran (Southern Metropolitan),0.0
Port Phillip,ST KILDA WEST,17.4,54.4,420.0,3182.0,VIC,144.979478,-37.865322,"14,062","34,220","43,958","16,061","47,343","66,375","16,468","47,902","65,309","17,083","48,636","67,698","17,563","50,265","67,541","17,848","53,762","74,964","18,455","55,178","72,878","17,723","56,287","76,095","16,328","59,361","82,548","16,526","61,425","87,572",0.0,0.0,0.0,Port Phillip,Melbourne - Inner,Prahran (Southern Metropolitan),0.0
Glen Eira,BALACLAVA,18.6,56.9,421.0,3183.0,VIC,144.999026,-37.869072,"10,189","32,346","39,215","11,826","46,998","61,835","11,854","47,956","65,133","12,111","49,394","65,510","12,545","50,363","67,181","12,871","52,488","69,941","12,903","55,245","73,755","12,591","56,561","76,258","11,894","58,569","89,122","11,921","61,788","88,910",0.0,0.0,0.0,Glen Eira,Melbourne - Inner South,Prahran (Southern Metropolitan),0.0
Glen Eira,ST KILDA EAST,18.6,56.9,422.0,3183.0,VIC,144.999026,-37.869072,"10,189","32,346","39,215","11,826","46,998","61,835","11,854","47,956","65,133","12,111","49,394","65,510","12,545","50,363","67,181","12,871","52,488","69,941","12,903","55,245","73,755","12,591","56,561","76,258","11,894","58,569","89,122","11,921","61,788","88,910",0.0,0.0,0.0,Glen Eira,Melbourne - Inner South,Prahran (Southern Metropolitan),0.0
Port Phillip,BRIGHTON ROAD,17.4,54.4,423.0,3184.0,VIC,144.984034,-37.881414,"10,013","36,813","47,253","10,420","54,896","75,979","10,656","55,780","79,893","10,860","57,991","87,906","11,044","58,719","84,155","11,059","61,675","88,316","11,236","64,077","90,249","11,045","65,504","94,496","10,409","69,014","101,637","10,360","72,472","108,247",0.0,0.0,0.0,Port Phillip,Melbourne - Inner,Brighton (Southern Metropolitan),0.0
Port Phillip,ELWOOD,17.4,54.4,424.0,3184.0,VIC,144.984034,-37.881414,"10,013","36,813","47,253","10,420","54,896","75,979","10,656","55,780","79,893","10,860","57,991","87,906","11,044","58,719","84,155","11,059","61,675","88,316","11,236","64,077","90,249","11,045","65,504","94,496","10,409","69,014","101,637","10,360","72,472","108,247",0.0,0.0,0.0,Port Phillip,Melbourne - Inner,Brighton (Southern Metropolitan),0.0
Port Phillip,ELSTERNWICK,17.4,54.4,425.0,3185.0,VIC,145.002571,-37.891841,"8,051","33,396","44,213","8,204","50,056","77,018","8,403","50,762","78,790","8,547","51,473","81,321","8,775","52,870","81,874","8,976","55,384","92,291","9,159","58,217","88,754","9,099","59,815","91,144","8,813","62,178","99,177","8,966","66,890","106,903",0.0,1.0,0.0,Glen Eira,Melbourne - Inner South,Caulfield (Southern Metropolitan),1.0
Port Phillip,GARDENVALE,17.4,54.4,426.0,3185.0,VIC,145.002571,-37.891841,"8,051","33,396","44,213","8,204","50,056","77,018","8,403","50,762","78,790","8,547","51,473","81,321","8,775","52,870","81,874","8,976","55,384","92,291","9,159","58,217","88,754","9,099","59,815","91,144","8,813","62,178","99,177","8,966","66,890","106,903",0.0,0.0,0.0,Glen Eira,Melbourne - Inner South,Caulfield (Southern Metropolitan),0.0
Port Phillip,RIPPONLEA,17.4,54.4,427.0,3185.0,VIC,145.002571,-37.891841,"8,051","33,396","44,213","8,204","50,056","77,018","8,403","50,762","78,790","8,547","51,473","81,321","8,775","52,870","81,874","8,976","55,384","92,291","9,159","58,217","88,754","9,099","59,815","91,144","8,813","62,178","99,177","8,966","66,890","106,903",0.0,0.0,0.0,Glen Eira,Melbourne - Inner South,Caulfield (Southern Metropolitan),0.0
Bayside,BRIGHTON,17.7,56.0,428.0,3186.0,VIC,144.996329,-37.915066,"15,889","39,711","72,672","15,990","57,339","121,625","16,118","58,730","124,009","16,333","60,013","125,293","16,526","60,684","129,289","16,921","62,954","137,485","16,758","64,176","140,006","16,591","65,702","139,506","16,376","66,613","154,721","16,352","73,381","170,500",0.0,0.0,0.0,Bayside,Melbourne - Inner South,Brighton (Southern Metropolitan),0.0
Bayside,BRIGHTON NORTH,17.7,56.0,429.0,3186.0,VIC,144.996329,-37.915066,"15,889","39,711","72,672","15,990","57,339","121,625","16,118","58,730","124,009","16,333","60,013","125,293","16,526","60,684","129,289","16,921","62,954","137,485","16,758","64,176","140,006","16,591","65,702","139,506","16,376","66,613","154,721","16,352","73,381","170,500",0.0,0.0,0.0,Bayside,Melbourne - Inner South,Brighton (Southern Metropolitan),0.0
Bayside,DENDY,17.7,56.0,430.0,3186.0,VIC,144.996329,-37.915066,"15,889","39,711","72,672","15,990","57,339","121,625","16,118","58,730","124,009","16,333","60,013","125,293","16,526","60,684","129,289","16,921","62,954","137,485","16,758","64,176","140,006","16,591","65,702","139,506","16,376","66,613","154,721","16,352","73,381","170,500",0.0,0.0,0.0,Bayside,Melbourne - Inner South,Brighton (Southern Metropolitan),0.0
Bayside,WERE STREET PO,17.7,56.0,431.0,3186.0,VIC,144.996329,-37.915066,"15,889","39,711","72,672","15,990","57,339","121,625","16,118","58,730","124,009","16,333","60,013","125,293","16,526","60,684","129,289","16,921","62,954","137,485","16,758","64,176","140,006","16,591","65,702","139,506","16,376","66,613","154,721","16,352","73,381","170,500",0.0,0.0,0.0,Bayside,Melbourne - Inner South,Brighton (Southern Metropolitan),0.0
Glen Eira,BRIGHTON EAST,18.6,56.9,432.0,3187.0,VIC,145.013593,-37.925371,"9,594","33,735","47,985","9,745","48,443","81,391","9,845","50,169","84,177","9,867","52,481","87,111","10,095","53,225","89,763","10,286","54,611","104,195","10,348","56,453","97,783","10,456","56,568","97,931","10,373","59,525","102,854","10,539","64,400","111,098",1.0,0.0,0.0,Glen Eira,Melbourne - Inner South,Brighton (Southern Metropolitan),1.0
Glen Eira,NORTH ROAD,18.6,56.9,433.0,3187.0,VIC,145.013593,-37.925371,"9,594","33,735","47,985","9,745","48,443","81,391","9,845","50,169","84,177","9,867","52,481","87,111","10,095","53,225","89,763","10,286","54,611","104,195","10,348","56,453","97,783","10,456","56,568","97,931","10,373","59,525","102,854","10,539","64,400","111,098",0.0,0.0,0.0,Glen Eira,Melbourne - Inner South,Brighton (Southern Metropolitan),0.0
Bayside,HAMPTON,17.7,56.0,434.0,3188.0,VIC,145.007238,-37.938889,"9,577","33,689","47,944","10,452","49,493","87,966","10,730","51,005","87,558","10,824","51,398","89,096","11,143","52,735","90,203","11,302","55,620","98,007","11,704","57,965","98,506","11,765","59,440","99,462","11,590","62,773","111,523","11,786","65,933","117,213",0.0,0.0,0.0,Bayside,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Bayside,HAMPTON EAST,17.7,56.0,435.0,3188.0,VIC,145.007238,-37.938889,"9,577","33,689","47,944","10,452","49,493","87,966","10,730","51,005","87,558","10,824","51,398","89,096","11,143","52,735","90,203","11,302","55,620","98,007","11,704","57,965","98,506","11,765","59,440","99,462","11,590","62,773","111,523","11,786","65,933","117,213",0.0,0.0,0.0,Bayside,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Bayside,HAMPTON NORTH,17.7,56.0,436.0,3188.0,VIC,145.007238,-37.938889,"9,577","33,689","47,944","10,452","49,493","87,966","10,730","51,005","87,558","10,824","51,398","89,096","11,143","52,735","90,203","11,302","55,620","98,007","11,704","57,965","98,506","11,765","59,440","99,462","11,590","62,773","111,523","11,786","65,933","117,213",0.0,0.0,0.0,Bayside,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Kingston,MOORABBIN,24.8,63.3,437.0,3189.0,VIC,145.047802,-37.942021,"4,285","28,568","32,930","3,699","42,143","53,358","3,585","43,008","54,703","3,753","44,939","56,791","3,829","46,016","58,056","3,969","47,489","61,262","4,039","50,019","62,664","4,066","51,923","66,236","4,044","55,424","69,875","4,056","59,275","74,933",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Kingston,MOORABBIN EAST,24.8,63.3,438.0,3189.0,VIC,145.047802,-37.942021,"4,285","28,568","32,930","3,699","42,143","53,358","3,585","43,008","54,703","3,753","44,939","56,791","3,829","46,016","58,056","3,969","47,489","61,262","4,039","50,019","62,664","4,066","51,923","66,236","4,044","55,424","69,875","4,056","59,275","74,933",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Kingston,WISHART,24.8,63.3,439.0,3189.0,VIC,145.047802,-37.942021,"4,285","28,568","32,930","3,699","42,143","53,358","3,585","43,008","54,703","3,753","44,939","56,791","3,829","46,016","58,056","3,969","47,489","61,262","4,039","50,019","62,664","4,066","51,923","66,236","4,044","55,424","69,875","4,056","59,275","74,933",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Kingston,HIGHETT,24.8,63.3,440.0,3190.0,VIC,145.038147,-37.951394,"5,503","29,992","35,014","5,998","47,000","60,292","6,121","46,946","62,470","6,372","48,785","63,935","6,673","50,045","65,596","7,023","52,284","68,470","7,277","54,781","71,785","7,468","57,649","74,263","7,480","60,445","80,444","7,499","64,386","84,092",1.0,0.0,0.0,Kingston,Melbourne - Inner South,Sandringham (Southern Metropolitan),1.0
Bayside,SANDRINGHAM,17.7,56.0,441.0,3191.0,VIC,145.013472,-37.956585,"5,786","35,045","52,082","6,037","53,000","90,148","6,253","54,534","88,127","6,494","55,488","90,115","6,680","55,491","108,485","6,856","57,275","96,665","6,990","58,808","100,671","7,106","61,379","98,811","7,117","63,274","106,752","7,083","68,927","120,264",0.0,0.0,0.0,Bayside,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Bayside,CHELTENHAM,17.7,56.0,442.0,3192.0,VIC,145.0623,-37.965655,"12,712","29,828","34,572","12,609","43,114","55,385","12,827","44,210","56,035","13,368","46,129","58,774","13,799","47,514","61,649","14,321","50,358","63,464","14,845","52,704","65,356","14,930","53,517","67,430","14,673","56,091","71,750","14,983","59,910","76,888",1.0,1.0,0.0,Kingston,Melbourne - Inner South,Sandringham (Southern Metropolitan),2.0
Bayside,CHELTENHAM EAST,17.7,56.0,443.0,3192.0,VIC,145.0623,-37.965655,"12,712","29,828","34,572","12,609","43,114","55,385","12,827","44,210","56,035","13,368","46,129","58,774","13,799","47,514","61,649","14,321","50,358","63,464","14,845","52,704","65,356","14,930","53,517","67,430","14,673","56,091","71,750","14,983","59,910","76,888",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Bayside,CHELTENHAM NORTH,17.7,56.0,444.0,3192.0,VIC,145.0623,-37.965655,"12,712","29,828","34,572","12,609","43,114","55,385","12,827","44,210","56,035","13,368","46,129","58,774","13,799","47,514","61,649","14,321","50,358","63,464","14,845","52,704","65,356","14,930","53,517","67,430","14,673","56,091","71,750","14,983","59,910","76,888",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Bayside,SOUTHLAND CENTRE,17.7,56.0,445.0,3192.0,VIC,145.0623,-37.965655,"12,712","29,828","34,572","12,609","43,114","55,385","12,827","44,210","56,035","13,368","46,129","58,774","13,799","47,514","61,649","14,321","50,358","63,464","14,845","52,704","65,356","14,930","53,517","67,430","14,673","56,091","71,750","14,983","59,910","76,888",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Bayside,BEAUMARIS,17.7,56.0,446.0,3193.0,VIC,145.031561,-37.978698,"13,121","33,472","50,863","12,813","47,353","80,738","12,961","49,065","83,192","13,041","49,808","90,936","13,198","51,880","88,649","13,483","53,495","92,024","13,426","56,574","97,462","13,442","56,005","101,181","13,424","57,793","108,747","13,548","63,808","114,222",0.0,0.0,0.0,Bayside,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Bayside,BLACK ROCK,17.7,56.0,447.0,3193.0,VIC,145.031561,-37.978698,"13,121","33,472","50,863","12,813","47,353","80,738","12,961","49,065","83,192","13,041","49,808","90,936","13,198","51,880","88,649","13,483","53,495","92,024","13,426","56,574","97,462","13,442","56,005","101,181","13,424","57,793","108,747","13,548","63,808","114,222",0.0,0.0,0.0,Bayside,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Bayside,BLACK ROCK NORTH,17.7,56.0,448.0,3193.0,VIC,145.031561,-37.978698,"13,121","33,472","50,863","12,813","47,353","80,738","12,961","49,065","83,192","13,041","49,808","90,936","13,198","51,880","88,649","13,483","53,495","92,024","13,426","56,574","97,462","13,442","56,005","101,181","13,424","57,793","108,747","13,548","63,808","114,222",0.0,0.0,0.0,Bayside,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Bayside,CROMER,17.7,56.0,449.0,3193.0,VIC,145.031561,-37.978698,"13,121","33,472","50,863","12,813","47,353","80,738","12,961","49,065","83,192","13,041","49,808","90,936","13,198","51,880","88,649","13,483","53,495","92,024","13,426","56,574","97,462","13,442","56,005","101,181","13,424","57,793","108,747","13,548","63,808","114,222",0.0,0.0,0.0,Bayside,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Kingston,MENTONE,24.8,63.3,450.0,3194.0,VIC,145.067356,-37.985059,"9,522","31,578","37,724","8,561","44,620","58,820","8,621","45,499","59,634","8,658","48,090","61,969","8,769","48,549","63,414","8,916","50,670","65,776","8,959","53,264","68,902","8,945","54,982","70,311","8,726","56,247","75,448","8,727","60,522","79,988",1.0,0.0,1.0,Kingston,Melbourne - Inner South,Sandringham (Southern Metropolitan),2.0
Kingston,MENTONE EAST,24.8,63.3,451.0,3194.0,VIC,145.067356,-37.985059,"9,522","31,578","37,724","8,561","44,620","58,820","8,621","45,499","59,634","8,658","48,090","61,969","8,769","48,549","63,414","8,916","50,670","65,776","8,959","53,264","68,902","8,945","54,982","70,311","8,726","56,247","75,448","8,727","60,522","79,988",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Kingston,MOORABBIN AIRPORT,24.8,63.3,452.0,3194.0,VIC,145.067356,-37.985059,"9,522","31,578","37,724","8,561","44,620","58,820","8,621","45,499","59,634","8,658","48,090","61,969","8,769","48,549","63,414","8,916","50,670","65,776","8,959","53,264","68,902","8,945","54,982","70,311","8,726","56,247","75,448","8,727","60,522","79,988",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Sandringham (Southern Metropolitan),0.0
Kingston,ASPENDALE,24.8,63.3,453.0,3195.0,VIC,145.104105,-38.007024,"17,600","31,046","36,241","20,819","46,597","59,214","21,172","47,544","60,446","21,628","48,766","62,878","22,080","49,890","64,038","22,563","52,103","68,495","23,106","53,779","69,409","23,206","55,938","71,793","23,099","57,981","77,799","23,373","60,235","80,354",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Mordialloc (South-Eastern Metropolitan),0.0
Kingston,ASPENDALE GARDENS,24.8,63.3,454.0,3195.0,VIC,145.104105,-38.007024,"17,600","31,046","36,241","20,819","46,597","59,214","21,172","47,544","60,446","21,628","48,766","62,878","22,080","49,890","64,038","22,563","52,103","68,495","23,106","53,779","69,409","23,206","55,938","71,793","23,099","57,981","77,799","23,373","60,235","80,354",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Mordialloc (South-Eastern Metropolitan),0.0
Kingston,BRAESIDE,24.8,63.3,455.0,3195.0,VIC,145.104105,-38.007024,"17,600","31,046","36,241","20,819","46,597","59,214","21,172","47,544","60,446","21,628","48,766","62,878","22,080","49,890","64,038","22,563","52,103","68,495","23,106","53,779","69,409","23,206","55,938","71,793","23,099","57,981","77,799","23,373","60,235","80,354",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Mordialloc (South-Eastern Metropolitan),0.0
Kingston,MORDIALLOC,24.8,63.3,456.0,3195.0,VIC,145.104105,-38.007024,"17,600","31,046","36,241","20,819","46,597","59,214","21,172","47,544","60,446","21,628","48,766","62,878","22,080","49,890","64,038","22,563","52,103","68,495","23,106","53,779","69,409","23,206","55,938","71,793","23,099","57,981","77,799","23,373","60,235","80,354",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Mordialloc (South-Eastern Metropolitan),0.0
Kingston,MORDIALLOC NORTH,24.8,63.3,457.0,3195.0,VIC,145.104105,-38.007024,"17,600","31,046","36,241","20,819","46,597","59,214","21,172","47,544","60,446","21,628","48,766","62,878","22,080","49,890","64,038","22,563","52,103","68,495","23,106","53,779","69,409","23,206","55,938","71,793","23,099","57,981","77,799","23,373","60,235","80,354",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Mordialloc (South-Eastern Metropolitan),0.0
Kingston,PARKDALE,24.8,63.3,458.0,3195.0,VIC,145.104105,-38.007024,"17,600","31,046","36,241","20,819","46,597","59,214","21,172","47,544","60,446","21,628","48,766","62,878","22,080","49,890","64,038","22,563","52,103","68,495","23,106","53,779","69,409","23,206","55,938","71,793","23,099","57,981","77,799","23,373","60,235","80,354",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Mordialloc (South-Eastern Metropolitan),0.0
Kingston,WATERWAYS,24.8,63.3,459.0,3195.0,VIC,145.104105,-38.007024,"17,600","31,046","36,241","20,819","46,597","59,214","21,172","47,544","60,446","21,628","48,766","62,878","22,080","49,890","64,038","22,563","52,103","68,495","23,106","53,779","69,409","23,206","55,938","71,793","23,099","57,981","77,799","23,373","60,235","80,354",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Mordialloc (South-Eastern Metropolitan),0.0
Kingston,BONBEACH,24.8,63.3,460.0,3196.0,VIC,145.122762,-38.046479,"12,694","29,332","33,052","14,078","44,767","52,434","14,333","46,501","54,116","14,756","47,558","55,816","15,066","48,682","57,786","15,569","51,167","61,536","15,821","53,246","64,257","15,981","54,588","65,242","15,922","57,292","69,174","16,192","60,930","73,684",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Mordialloc (South-Eastern Metropolitan),0.0
Kingston,CHELSEA,24.8,63.3,461.0,3196.0,VIC,145.122762,-38.046479,"12,694","29,332","33,052","14,078","44,767","52,434","14,333","46,501","54,116","14,756","47,558","55,816","15,066","48,682","57,786","15,569","51,167","61,536","15,821","53,246","64,257","15,981","54,588","65,242","15,922","57,292","69,174","16,192","60,930","73,684",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Mordialloc (South-Eastern Metropolitan),0.0
Kingston,CHELSEA HEIGHTS,24.8,63.3,462.0,3196.0,VIC,145.122762,-38.046479,"12,694","29,332","33,052","14,078","44,767","52,434","14,333","46,501","54,116","14,756","47,558","55,816","15,066","48,682","57,786","15,569","51,167","61,536","15,821","53,246","64,257","15,981","54,588","65,242","15,922","57,292","69,174","16,192","60,930","73,684",1.0,1.0,0.0,Kingston,Melbourne - Inner South,Mordialloc (South-Eastern Metropolitan),2.0
Kingston,EDITHVALE,24.8,63.3,463.0,3196.0,VIC,145.122762,-38.046479,"12,694","29,332","33,052","14,078","44,767","52,434","14,333","46,501","54,116","14,756","47,558","55,816","15,066","48,682","57,786","15,569","51,167","61,536","15,821","53,246","64,257","15,981","54,588","65,242","15,922","57,292","69,174","16,192","60,930","73,684",0.0,0.0,0.0,Kingston,Melbourne - Inner South,Mordialloc (South-Eastern Metropolitan),0.0
Kingston,CARRUM,24.8,63.3,464.0,3197.0,VIC,145.134111,-38.072748,"7,047","31,586","38,221","7,014","44,975","58,104","7,104","45,566","59,671","7,221","46,305","60,342","7,335","48,279","61,964","7,416","50,726","66,233","7,498","51,869","67,639","7,553","53,484","70,992","7,548","55,771","72,601","7,557","58,180","75,398",0.0,0.0,0.0,Frankston,Mornington Peninsula,Carrum (South-Eastern Metropolitan),0.0
Kingston,PATTERSON LAKES,24.8,63.3,465.0,3197.0,VIC,145.134111,-38.072748,"7,047","31,586","38,221","7,014","44,975","58,104","7,104","45,566","59,671","7,221","46,305","60,342","7,335","48,279","61,964","7,416","50,726","66,233","7,498","51,869","67,639","7,553","53,484","70,992","7,548","55,771","72,601","7,557","58,180","75,398",0.0,0.0,0.0,Frankston,Mornington Peninsula,Carrum (South-Eastern Metropolitan),0.0
Frankston,BELVEDERE PARK,30.8,68.8,466.0,3198.0,VIC,145.137811,-38.103194,"8,997","28,061","30,597","8,847","41,514","46,761","9,007","43,148","48,420","9,243","44,126","49,719","9,531","45,616","51,635","9,750","46,902","53,705","9,888","48,864","55,336","9,966","50,071","56,889","9,876","52,473","60,512","10,097","53,931","63,005",0.0,0.0,0.0,Frankston,Mornington Peninsula,Frankston (South-Eastern Metropolitan),0.0
