Name,Latitude,Longitude
McDonald's,51.5972708,-3.0771085
McDonald's,35.951179,-83.20105029999999
McDonald's,42.8949755,-70.87042699999999
McDonald's,29.5764335,-95.02731229999999
McDonald's,38.9893422,-76.82305680000002
McDonald's,-38.03971749999999,145.3427079
McDonald's Point Cook,-37.89697839999999,144.7535191
McDonald's Hoppers Crossing,-37.8799563,144.7015746
McDonald's Wyndham Waters,-37.8534332,144.7321786
McDonald's Point Cook,-37.8847522,144.7368859
McDonald's,42.0382362,-82.72301430000002
McDonald's,27.5154623,-97.8558224
McDonald's,27.4907989,-97.84578859999999
McDonald's,51.2711222,0.5168661
McDonald's,51.2670148,0.6139792
McDonald's,51.29186259999999,0.4761545
McDonald's,51.27657060000001,0.522443
McDonald's,51.27301689999999,0.5243477
McDonald's,12.9669671,77.71673349999999
McDonald's,43.0357142,-88.1451244
McDonald's Melton West,-37.687872,144.5667611
McDonald's,-37.6892352,144.6046857
McDonald's Riverdale Village,-37.8342731,144.6528654
McDonald's Manor Lakes,-37.8760293,144.615446
McDonald's Hogans Corner,-37.8612475,144.6867773
McDonald's,-37.6738527,144.4357354
McDonald's Plumpton,-33.7444619,150.8365705
McDonald's Werribee,-37.9030232,144.6617362
McDonald's Werribee Plaza,-37.8751797,144.6813643
McDonald's,-37.9263141,144.6312322
McDonald's,53.6145693,-113.5154432
McDonald's,39.9873254,-104.7548772
McDonald's,41.5837552,-72.5037084
McDonald's Seaford,-35.185821,138.477851
McDonald's,41.4996263,-81.66541289999999
McDonald's,40.7266581,-95.0371443
McDonald's Waterway Point,1.40669,103.9021738
McDonald's,51.5090601,-0.1981166
McDonald's,-38.0634853,145.436729
McDonald's,-38.0708685,145.4782751
McDonald's,-38.0730158,145.3896886
McDonald's,-23.5171225,148.1559489
McDonald's Emerald,-6.272081699999999,106.6984898
McDonald's,-38.1342603,145.8570234
McDonald's,-38.1610378,145.9297367
McDonald's,-38.2455327,145.5373519
McDonald's Clyde North,-38.076315,145.3362316
McDonald's,-38.0699518,145.3871906
McDonald's,-38.1184841,145.3207168
McDonald's,40.8676451,-74.1006111
McDonald's,42.6018038,-82.95176630000002
