council,suburb,Adults - Obesity Rate
Cardinia,YELLINGBO,32.4
Yarra Ranges,LILYDALE,27.1
Melbourne,CHAPEL STREET NORTH,15.3
Melbourne,DOMAIN ROAD PO,15.3
Melbourne,SOUTH YARRA,15.3
Stonnington,HAWKSBURN,15.5
Stonnington,TOORAK,15.5
Stonnington,ARMADALE,15.5
Stonnington,ARMADALE NORTH,15.5
Stonnington,KOOYONG,15.5
Stonnington,MALVERN,15.5
Stonnington,MALVERN NORTH,15.5
Glen Eira,CAULFIELD EAST,18.6
Glen Eira,CENTRAL PARK,18.6
Glen Eira,DARLING,18.6
Glen Eira,DARLING SOUTH,18.6
Glen Eira,MALVERN EAST,18.6
Glen Eira,WATTLETREE ROAD PO,18.6
Stonnington,GLEN IRIS,15.5
Stonnington,TOORONGA,15.5
Stonnington,ASHBURTON,15.5
Stonnington,ASHWOOD,15.5
Monash,CHADSTONE,19.7
Monash,CHADSTONE CENTRE,19.7
Monash,HOLMESGLEN,19.7
Monash,JORDANVILLE,19.7
Monash,MOUNT WAVERLEY,19.7
Monash,PINEWOOD,19.7
Monash,SYNDAL,19.7
Monash,BRANDON PARK,19.7
Monash,GLEN WAVERLEY,19.7
Monash,WHEELERS HILL,19.7
Whitehorse,BURWOOD EAST,19.5
Whitehorse,BURWOOD HEIGHTS,19.5
Knox,KNOX CITY CENTRE,24.5
Knox,STUDFIELD,24.5
Knox,WANTIRNA,24.5
Knox,WANTIRNA SOUTH,24.5
Maroondah,BAYSWATER,26.3
Maroondah,BAYSWATER NORTH,26.3
Knox,THE BASIN,24.5
Knox,BORONIA,24.5
Casey,FERNTREE GULLY,32.2
Casey,LYSTERFIELD,32.2
Casey,LYSTERFIELD SOUTH,32.2
Casey,MOUNTAIN GATE,32.2
Casey,UPPER FERNTREE GULLY,32.2
Yarra Ranges,UPWEY,27.1
Cardinia,MENZIES CREEK,32.4
Cardinia,SELBY,32.4
Yarra Ranges,BELGRAVE,27.1
Yarra Ranges,BELGRAVE HEIGHTS,27.1
Yarra Ranges,BELGRAVE SOUTH,27.1
Yarra Ranges,TECOMA,27.1
Glen Eira,CAULFIELD JUNCTION,18.6
Glen Eira,CAULFIELD NORTH,18.6
Glen Eira,CAULFIELD,18.6
Glen Eira,CAULFIELD SOUTH,18.6
Glen Eira,HOPETOUN GARDENS,18.6
Glen Eira,BOORAN ROAD PO,18.6
Glen Eira,CARNEGIE,18.6
Glen Eira,GLEN HUNTLY,18.6
Glen Eira,MURRUMBEENA,18.6
Greater Dandenong,DANDENONG SOUTH,26.3
Glen Eira,BENTLEIGH EAST,18.6
Glen Eira,COATESVILLE,18.6
Monash,HUGHESDALE,19.7
Monash,HUNTINGDALE,19.7
Monash,OAKLEIGH,19.7
Monash,OAKLEIGH EAST,19.7
Kingston,OAKLEIGH SOUTH,24.8
Monash,CLAYTON,19.7
Monash,NOTTING HILL,19.7
Kingston,CLARINDA,24.8
Kingston,CLAYTON SOUTH,24.8
Monash,MULGRAVE,19.7
Monash,WAVERLEY GARDENS,19.7
Greater Dandenong,SANDOWN VILLAGE,26.3
Greater Dandenong,SPRINGVALE,26.3
Kingston,DINGLEY VILLAGE,24.8
Kingston,SPRINGVALE SOUTH,24.8
Greater Dandenong,KEYSBOROUGH,26.3
Greater Dandenong,NOBLE PARK,26.3
Greater Dandenong,NOBLE PARK EAST,26.3
Greater Dandenong,NOBLE PARK NORTH,26.3
Casey,BANGHOLME,32.2
Casey,DANDENONG,32.2
Casey,DANDENONG EAST,32.2
Casey,DANDENONG NORTH,32.2
Casey,DANDENONG SOUTH,32.2
Casey,DUNEARN,32.2
Knox,SCORESBY BC,24.5
Casey,DOVETON,32.2
Casey,EUMEMMERRING,32.2
Knox,ROWVILLE,24.5
Knox,SCORESBY,24.5
Knox,KNOXFIELD,24.5
Port Phillip,PRAHRAN,17.4
Port Phillip,PRAHRAN EAST,17.4
