council,suburb,Adults - Obesity - ASR,Adults - Overweight/Obese - ASR
Glen Eira,CENTRAL PARK,18.6,56.9
Glen Eira,DARLING,18.6,56.9
Glen Eira,DARLING SOUTH,18.6,56.9
Glen Eira,MALVERN EAST,18.6,56.9
Glen Eira,WATTLETREE ROAD PO,18.6,56.9
Stonnington,GLEN IRIS,15.5,53.3
Stonnington,TOORONGA,15.5,53.3
Stonnington,ASHBURTON,15.5,53.3
Stonnington,ASHWOOD,15.5,53.3
Monash,CHADSTONE,19.7,57.1
Monash,CHADSTONE CENTRE,19.7,57.1
Monash,HOLMESGLEN,19.7,57.1
Monash,JORDANVILLE,19.7,57.1
Monash,MOUNT WAVERLEY,19.7,57.1
Monash,PINEWOOD,19.7,57.1
Monash,SYNDAL,19.7,57.1
Monash,BRANDON PARK,19.7,57.1
Monash,GLEN WAVERLEY,19.7,57.1
Monash,WHEELERS HILL,19.7,57.1
Whitehorse,BURWOOD EAST,19.5,57.3
Whitehorse,BURWOOD HEIGHTS,19.5,57.3
Knox,KNOX CITY CENTRE,24.5,62.9
Knox,STUDFIELD,24.5,62.9
Knox,WANTIRNA,24.5,62.9
Knox,WANTIRNA SOUTH,24.5,62.9
Maroondah,BAYSWATER,26.3,64.6
Maroondah,BAYSWATER NORTH,26.3,64.6
Knox,THE BASIN,24.5,62.9
Knox,BORONIA,24.5,62.9
Casey,FERNTREE GULLY,32.2,70.5
Casey,LYSTERFIELD,32.2,70.5
Casey,LYSTERFIELD SOUTH,32.2,70.5
Casey,MOUNTAIN GATE,32.2,70.5
Casey,UPPER FERNTREE GULLY,32.2,70.5
Yarra Ranges,UPWEY,27.1,65.6
Cardinia,MENZIES CREEK,32.4,71.2
Cardinia,SELBY,32.4,71.2
Yarra Ranges,BELGRAVE,27.1,65.6
Yarra Ranges,BELGRAVE HEIGHTS,27.1,65.6
Yarra Ranges,BELGRAVE SOUTH,27.1,65.6
Yarra Ranges,TECOMA,27.1,65.6
Glen Eira,CAULFIELD JUNCTION,18.6,56.9
Glen Eira,CAULFIELD NORTH,18.6,56.9
Glen Eira,CAULFIELD,18.6,56.9
Glen Eira,CAULFIELD SOUTH,18.6,56.9
Glen Eira,HOPETOUN GARDENS,18.6,56.9
Glen Eira,BOORAN ROAD PO,18.6,56.9
Glen Eira,CARNEGIE,18.6,56.9
Glen Eira,GLEN HUNTLY,18.6,56.9
Glen Eira,MURRUMBEENA,18.6,56.9
Greater Dandenong,DANDENONG SOUTH,26.3,63.2
Glen Eira,BENTLEIGH EAST,18.6,56.9
Glen Eira,COATESVILLE,18.6,56.9
Monash,HUGHESDALE,19.7,57.1
Monash,HUNTINGDALE,19.7,57.1
Monash,OAKLEIGH,19.7,57.1
Monash,OAKLEIGH EAST,19.7,57.1
Kingston,OAKLEIGH SOUTH,24.8,63.3
Monash,CLAYTON,19.7,57.1
Monash,NOTTING HILL,19.7,57.1
Kingston,CLARINDA,24.8,63.3
Kingston,CLAYTON SOUTH,24.8,63.3
Monash,MULGRAVE,19.7,57.1
Monash,WAVERLEY GARDENS,19.7,57.1
Greater Dandenong,SANDOWN VILLAGE,26.3,63.2
Greater Dandenong,SPRINGVALE,26.3,63.2
Kingston,DINGLEY VILLAGE,24.8,63.3
Kingston,SPRINGVALE SOUTH,24.8,63.3
Greater Dandenong,KEYSBOROUGH,26.3,63.2
Greater Dandenong,NOBLE PARK,26.3,63.2
Greater Dandenong,NOBLE PARK EAST,26.3,63.2
Greater Dandenong,NOBLE PARK NORTH,26.3,63.2
Casey,BANGHOLME,32.2,70.5
Casey,DANDENONG,32.2,70.5
Casey,DANDENONG EAST,32.2,70.5
Casey,DANDENONG NORTH,32.2,70.5
Casey,DANDENONG SOUTH,32.2,70.5
Casey,DUNEARN,32.2,70.5
Knox,SCORESBY BC,24.5,62.9
Casey,DOVETON,32.2,70.5
Casey,EUMEMMERRING,32.2,70.5
Knox,ROWVILLE,24.5,62.9
Knox,SCORESBY,24.5,62.9
Knox,KNOXFIELD,24.5,62.9
Port Phillip,PRAHRAN,17.4,54.4
Port Phillip,PRAHRAN EAST,17.4,54.4
Port Phillip,WINDSOR,17.4,54.4
Port Phillip,ST KILDA,17.4,54.4
Port Phillip,ST KILDA SOUTH,17.4,54.4
Port Phillip,ST KILDA WEST,17.4,54.4
Glen Eira,BALACLAVA,18.6,56.9
Glen Eira,ST KILDA EAST,18.6,56.9
Port Phillip,BRIGHTON ROAD,17.4,54.4
